ID,Name,Race,MaxHitPoints,MaxShields,MaxEnergy,RegeneratesHp,AirWeaponName,GroundWeaponName,Armor,ArmorUpgrade,UnitSize,RequiredTech,RequiresCreep,RequiresPsi,CloakingTech,HasPermanentCloak,BuildScore,BuildTime,DestroyScore,Acceleration,HaltDistance,TopSpeed,TurnRadius,CanAttack,CanBuildAddon,CanMove,CanProduce,Width,Height,DimensionDown,DimensionLeft,DimensionRight,DimensionUp,TileWidth,TileHeight,MineralPrice,GasPrice,SpaceProvided,SpaceRequired,SupplyProvided,SupplyRequired,IsAddon,IsBeacon,IsBuilding,IsBurrowable,IsCloakable,IsCritter,IsDetector,IsFlagBeacon,IsFlyer,IsFlyingBuilding,IsHero,IsInvincible,IsMechanical,IsMineralField,IsNeutral,IsOrganic,IsPowerup,IsRefinery,IsResourceContainer,IsResourceDepot,IsRobotic,IsSpecialBuilding,IsSpell,IsSpellcaster,IsTwoUnitsInOneEgg,IsWorker,ProducesCreep,ProducesLarva,SeekRange,SightRange,MaxGroundHits,MaxAirHits,Abilities,Upgrades,BuildsWhat,ReseachesWhat,UpgradesWhat,RequiredUnits
int,string,string,int,int,int,bool,string,string,int,string,string,string,bool,bool,string,bool,int,int,int,int,int,double,int,bool,bool,bool,bool,int,int,int,int,int,int,int,int,int,int,int,int,int,int,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,bool,int,int,int,int,string,string,string,string,string,string
0,Terran_Marine,Terran,40,0,0,FALSE,Gauss_Rifle,Gauss_Rifle,0,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,50,360,100,1,1,4,40,TRUE,FALSE,TRUE,FALSE,17,20,10,8,8,9,1,1,50,0,0,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,224,1,1,Stim_Packs,U_238_Shells/Terran_Infantry_Armor/Terran_Infantry_Weapons,None,None,None,Terran_Barracks|1
1,Terran_Ghost,Terran,45,0,200,FALSE,C_10_Canister_Rifle,C_10_Canister_Rifle,0,Terran_Infantry_Armor,Small,None,FALSE,FALSE,Personnel_Cloaking,FALSE,175,750,350,1,1,4,40,TRUE,FALSE,TRUE,FALSE,15,22,11,7,7,10,1,1,25,75,0,1,0,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,288,1,1,Lockdown/Personnel_Cloaking/Nuclear_Strike,Terran_Infantry_Armor/Terran_Infantry_Weapons/Ocular_Implants/Moebius_Reactor,None,None,None,Terran_Barracks|1/Terran_Academy|1/Terran_Covert_Ops|1
2,Terran_Vulture,Terran,80,0,0,FALSE,None,Fragmentation_Grenade,0,Terran_Vehicle_Plating,Medium,None,FALSE,FALSE,None,FALSE,75,450,150,100,14569,6.4,40,TRUE,FALSE,TRUE,FALSE,32,32,15,16,15,16,1,1,75,0,0,2,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,256,1,0,Spider_Mines,Ion_Thrusters/Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,Terran_Factory|1
3,Terran_Goliath,Terran,125,0,0,FALSE,Hellfire_Missile_Pack,Twin_Autocannons,1,Terran_Vehicle_Plating,Large,None,FALSE,FALSE,None,FALSE,200,600,400,1,1,4.57,17,TRUE,FALSE,TRUE,FALSE,32,32,15,16,15,16,1,1,100,50,0,2,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,160,256,1,1,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons/Charon_Boosters,None,None,None,Terran_Factory|1/Terran_Armory|1
4,Terran_Goliath_Turret,Terran,0,0,0,FALSE,Hellfire_Missile_Pack,Twin_Autocannons,0,Terran_Vehicle_Plating,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,3,3,1,1,1,1,1,1,1,1,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,256,1,1,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons/Charon_Boosters,None,None,None,None
5,Terran_Siege_Tank_Tank_Mode,Terran,150,0,0,FALSE,None,Arclite_Cannon,1,Terran_Vehicle_Plating,Large,None,FALSE,FALSE,None,FALSE,350,750,700,1,1,4,13,TRUE,FALSE,TRUE,FALSE,32,32,15,16,15,16,1,1,150,100,0,4,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,256,320,1,0,Tank_Siege_Mode,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,Terran_Factory|1/Terran_Machine_Shop|1
6,Terran_Siege_Tank_Tank_Mode_Turret,Terran,0,0,0,FALSE,None,Arclite_Cannon,0,Terran_Vehicle_Plating,Independent,None,FALSE,FALSE,None,FALSE,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,3,3,1,1,1,1,1,1,1,1,0,255,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,256,320,1,0,None,Terran_Vehicle_Plating/Terran_Vehicle_Weapons,None,None,None,None
7,Terran_SCV,Terran,60,0,0,FALSE,None,Fusion_Cutter,0,Terran_Infantry_Armor,Small,None,FALSE,FALSE,None,FALSE,50,300,100,67,12227,4.92,40,TRUE,FALSE,TRUE,FALSE,23,23,11,11,11,11,1,1,50,0,0,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,32,224,1,0,None,Terran_Infantry_Armor,Terran_Academy/Terran_Armory/Terran_Barracks/Terran_Bunker/Terran_Engineering_Bay/Terran_Command_Center/Terran_Factory/Terran_Missile_Turret/Terran_Refinery/Terran_Science_Facility/Terran_Starport/Terran_Supply_Depot,None,None,Terran_Command_Center|1
8,Terran_Wraith,Terran,120,0,200,FALSE,Gemini_Missiles,Burst_Lasers,0,Terran_Ship_Plating,Large,None,FALSE,FALSE,Cloaking_Field,FALSE,400,900,800,67,21745,6.67,40,TRUE,FALSE,TRUE,FALSE,38,30,14,19,18,15,1,1,150,100,0,255,0,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,224,1,1,Cloaking_Field,Terran_Ship_Plating/Terran_Ship_Weapons/Apollo_Reactor,None,None,None,Terran_Starport|1
